filename,start,end,duration,time_extract-data,time_core-phrases,time_keywords,time_stats,time_guess-language,time_merger
draft-akiya-mpls-lsp-ping-lag-multipath-01.pdf,1577364007,1577364937,930,310,593,584,485,549,24
draft-campbell-tokbind-tls-term-00.pdf,1577364014,1577364957,943,858,57,50,47,43,25
draft-akiya-mpls-lsp-ping-reply-mode-simple-02.pdf,1577364008,1577364983,975,305,488,419,653,400,13
draft-akiya-bfd-seamless-ip-00.pdf,1577364007,1577365003,996,293,677,489,385,416,22
draft-akiya-mpls-lsp-ping-lag-multipath-02.pdf,1577364007,1577365124,1117,171,527,839,910,680,33
draft-akiya-bfd-seamless-base-00.pdf,1577364008,1577365162,1154,333,804,727,600,549,15
draft-akiya-bfd-seamless-alert-discrim-02.pdf,1577364012,1577365166,1154,669,171,468,147,467,14
draft-ali-pce-remote-initiated-lsp-usage-00.pdf,1577364007,1577365175,1168,166,729,976,476,447,22
draft-campbell-oauth-sts-00.pdf,1577364015,1577365188,1173,738,80,214,73,321,110
draft-agarwal-intarea-mams-protocol-json-00.pdf,1577364015,1577365197,1182,845,193,149,120,315,18
draft-akiya-mpls-entropy-lsp-ping-03.pdf,1577364014,1577365213,1199,613,163,556,114,214,27
draft-akiya-mpls-lsp-ping-lag-multipath-04.pdf,1577364012,1577365216,1204,672,329,507,187,110,22
draft-akiya-mpls-entropy-lsp-ping-02.pdf,1577364007,1577365234,1227,178,956,1027,739,464,18
draft-akiya-bfd-seamless-alert-discrim-00.pdf,1577364012,1577365251,1239,551,242,489,663,557,21
draft-carney-regext-validate-00.pdf,1577364014,1577365283,1269,1187,60,60,45,38,19
draft-akiya-bfd-seamless-base-02.pdf,1577364014,1577365308,1294,1089,166,183,164,91,19
draft-akiya-bfd-seamless-ip-05.pdf,1577364008,1577365322,1314,349,941,665,471,656,21
draft-alvestrand-rmcat-congestion-03.pdf,1577364008,1577365323,1315,393,472,628,896,642,22
draft-akiya-bfd-seamless-sr-03.pdf,1577364009,1577365323,1314,418,866,660,537,762,28
draft-akiya-mpls-lsp-ping-lag-multipath-03.pdf,1577364016,1577365331,1315,1030,259,252,43,51,23
draft-akiya-bfd-seamless-alert-discrim-01.pdf,1577364007,1577365332,1325,144,909,460,1154,443,23
draft-am-bfd-performance-00.pdf,1577364010,1577365354,1344,426,900,315,310,890,14
draft-carey-core-std-msg-vs-trans-adapt-00.pdf,1577364009,1577365359,1350,446,866,779,678,884,16
draft-ali-pce-remote-initiated-gmpls-lsp-02.pdf,1577364007,1577365412,1405,222,1144,1011,550,1001,35
draft-akiya-mpls-lsp-ping-reply-mode-simple-00.pdf,1577364011,1577365412,1401,522,861,852,426,360,16
draft-akiya-mpls-entropy-lsp-ping-04.pdf,1577364011,1577365429,1418,500,872,880,551,900,14
draft-akiya-bfd-seamless-alert-discrim-03.pdf,1577364017,1577365432,1415,745,406,641,356,169,25
draft-aayadi-6lowpan-tcphc-01.pdf,1577364007,1577365438,1431,232,1114,636,624,1171,24
draft-castellani-core-http-mapping-01.pdf,1577364010,1577365450,1440,535,554,507,902,553,
draft-akiya-mpls-entropy-lsp-ping-00.pdf,1577364011,1577365454,1443,579,832,844,207,781,17
draft-campbell-oauth-resource-indicators-00.pdf,1577364011,1577365481,1470,1341,115,115,101,77,10
draft-akiya-mpls-lsp-ping-lag-multipath-00.pdf,1577364015,1577366220,2205,1834,92,343,47,41,24
draft-campbell-oauth-sts-02.pdf,1577364010,1577366269,2259,2121,97,67,59,52,37
draft-campbell-oauth-mtls-00.pdf,1577364014,1577366374,2360,1584,433,419,576,748,24
draft-ali-pce-remote-initiated-gmpls-lsp-01.pdf,1577364010,1577366440,2430,1832,331,570,498,474,24
draft-castellani-core-http-mapping-03.pdf,1577364012,1577366483,2471,1583,462,887,417,531,
draft-aliahmad-dmm-anchor-selection-01.pdf,1577364013,1577366509,2496,1598,470,875,612,451,20
draft-akiya-bfd-seamless-sr-01.pdf,1577364013,1577366514,2501,1711,512,765,381,390,20
draft-aliahmad-dmm-anchor-selection-00.pdf,1577364009,1577366533,2524,1576,672,492,686,584,258
draft-akiya-mpls-lsp-ping-reply-mode-simple-01.pdf,1577364016,1577366540,2524,1842,81,477,120,386,201
draft-akiya-bfd-seamless-ip-04.pdf,1577364016,1577366558,2542,1971,484,549,418,427,19
draft-adamson-elasticmcast-00.pdf,1577364012,1577366595,2583,1660,900,903,550,838,15
draft-ama-mpls-fm-rdi-00.pdf,1577364008,1577366599,2591,2299,81,41,41,49,209
draft-aazam-cdni-inter-cloud-architecture-00.pdf,1577364015,1577366605,2590,1845,162,571,119,112,170
draft-akiya-bfd-seamless-sr-00.pdf,1577364009,1577366608,2599,1775,351,510,556,745,77
draft-alcaide-calabria-idr-bgp-prefix-priority-00.pdf,1577364015,1577366627,2612,1638,459,794,423,409,174
draft-am-dprive-eval-01.pdf,1577364013,1577366683,2670,1921,727,429,543,414,20
draft-capelastegui-mmusic-3dv-sdp-00.pdf,1577364010,1577366693,2683,2418,162,238,220,159,23
draft-akiya-bfd-seamless-sr-02.pdf,1577364013,1577366699,2686,1726,804,383,412,550,151
draft-ali-pce-remote-initiated-gmpls-lsp-00.pdf,1577364013,1577366716,2703,2210,68,82,474,422,16
draft-antti-rfc2806bis-06.pdf,1577364015,1577366723,2708,2000,569,398,628,472,76
draft-akiya-bfd-seamless-ip-02.pdf,1577364016,1577366728,2712,2553,135,126,90,97,20
draft-campbell-oauth-sts-01.pdf,1577364010,1577366740,2730,2640,67,65,46,42,20
draft-akiya-mpls-entropy-lsp-ping-01.pdf,1577364017,1577366772,2755,2504,135,228,67,51,20
draft-akiya-mpls-lsp-ping-lag-multipath-05.pdf,1577364017,1577366774,2757,2165,120,566,412,58,22
draft-akiya-bfd-seamless-ip-03.pdf,1577364016,1577366853,2837,2745,74,76,64,52,13
draft-akiya-mpls-lsp-ping-reply-mode-simple-03.pdf,1577364011,1577366947,2936,2863,41,55,46,40,15
draft-campbell-oauth-mtls-01.pdf,1577364017,1577366982,2965,2903,40,46,37,33,15
draft-campbell-oauth-resource-indicators-01.pdf,1577364008,1577367007,2999,2939,45,39,31,35,12
draft-alexander-roll-mikey-lln-key-mgmt-01.pdf,1577364013,1577367085,3072,2990,66,58,34,25,12
