filename,start,end,duration,time_extract-data,time_core-phrases,time_keywords,time_stats,time_guess-language,time_merger
draft-alcaide-calabria-idr-bgp-prefix-priority-00.pdf,1577373201,1577376605,3404,767,2223,2226,1584,1551,409
draft-castellani-core-http-mapping-03.pdf,1577373198,1577376810,3612,2226,1384,665,1040,1204,
draft-carey-core-std-msg-vs-trans-adapt-00.pdf,1577373195,1577376844,3649,1418,1502,2142,1215,1181,84
draft-akiya-mpls-lsp-ping-lag-multipath-01.pdf,1577373193,1577376910,3717,2612,616,611,329,708,393
draft-akiya-mpls-entropy-lsp-ping-00.pdf,1577373197,1577376963,3766,1811,1577,1007,951,1043,375
draft-akiya-mpls-lsp-ping-lag-multipath-00.pdf,1577373202,1577377000,3798,927,1549,1497,1444,1450,1318
draft-agarwal-intarea-mams-protocol-json-00.pdf,1577373201,1577377065,3864,597,2498,2913,2777,2409,350
draft-ali-pce-remote-initiated-lsp-usage-00.pdf,1577373192,1577377082,3890,183,3102,2918,2351,2011,601
draft-aazam-cdni-inter-cloud-architecture-00.pdf,1577373201,1577377087,3886,620,2854,1672,1664,2130,407
draft-alvestrand-rmcat-congestion-03.pdf,1577373194,1577377091,3897,1282,1356,2561,2585,1668,27
draft-carney-regext-validate-00.pdf,1577373200,1577377107,3907,2154,1470,1401,1702,983,47
draft-ali-pce-remote-initiated-gmpls-lsp-01.pdf,1577373196,1577377111,3915,1672,1487,1145,1653,1316,584
draft-adamson-elasticmcast-00.pdf,1577373198,1577377115,3917,1656,2032,1065,1011,1008,225
draft-akiya-mpls-entropy-lsp-ping-02.pdf,1577373193,1577377142,3949,190,3538,2031,2041,2066,217
draft-ali-pce-remote-initiated-gmpls-lsp-02.pdf,1577373193,1577377172,3979,1150,1424,1732,1431,1398,1095
draft-campbell-oauth-sts-02.pdf,1577373196,1577377198,4002,2020,1132,1363,1069,1791,185
draft-akiya-mpls-lsp-ping-lag-multipath-03.pdf,1577373202,1577377198,3996,786,1641,1552,3025,2913,181
draft-akiya-bfd-seamless-alert-discrim-02.pdf,1577373198,1577377202,4004,1976,1787,995,1347,816,235
draft-antti-rfc2806bis-06.pdf,1577373201,1577377203,4002,339,2381,3636,3319,3223,23
draft-akiya-mpls-lsp-ping-lag-multipath-04.pdf,1577373198,1577377223,4025,1842,2139,1094,1645,1650,39
draft-capelastegui-mmusic-3dv-sdp-00.pdf,1577373196,1577377226,4030,1345,2577,2290,2278,2422,104
draft-akiya-bfd-seamless-alert-discrim-03.pdf,1577373203,1577377227,4024,1108,2159,2661,1789,1401,250
draft-akiya-bfd-seamless-sr-00.pdf,1577373195,1577377230,4035,1477,1396,1335,2262,2209,292
draft-akiya-mpls-entropy-lsp-ping-03.pdf,1577373200,1577377246,4046,2420,1135,663,726,1547,75
draft-campbell-oauth-sts-00.pdf,1577373200,1577377249,4049,379,2472,3001,3471,2934,195
draft-akiya-mpls-lsp-ping-lag-multipath-05.pdf,1577373203,1577377255,4052,975,1510,2284,2054,2052,790
draft-castellani-core-http-mapping-01.pdf,1577373196,1577377686,4490,4415,73,71,37,35,
draft-akiya-mpls-lsp-ping-reply-mode-simple-00.pdf,1577373198,1577377838,4640,2753,455,691,434,1312,572
draft-akiya-mpls-lsp-ping-reply-mode-simple-03.pdf,1577373197,1577377994,4797,4216,413,357,317,305,164
draft-alexander-roll-mikey-lln-key-mgmt-01.pdf,1577373199,1577378121,4922,4345,273,400,328,331,175
draft-campbell-oauth-resource-indicators-01.pdf,1577373194,1577378227,5033,4564,237,167,214,273,192
draft-akiya-bfd-seamless-base-00.pdf,1577373194,1577378738,5544,4752,110,143,153,183,603
draft-akiya-bfd-seamless-ip-00.pdf,1577373193,1577379011,5818,4910,121,103,68,52,783
draft-akiya-mpls-lsp-ping-reply-mode-simple-01.pdf,1577373202,1577379346,6144,5065,520,537,488,559,516
draft-akiya-bfd-seamless-ip-02.pdf,1577373202,1577379611,6409,5159,527,801,511,476,445
draft-akiya-bfd-seamless-sr-03.pdf,1577373195,1577379681,6486,5524,607,444,782,485,176
draft-akiya-mpls-lsp-ping-lag-multipath-02.pdf,1577373193,1577379686,6493,5684,396,565,613,505,191
draft-akiya-bfd-seamless-base-02.pdf,1577373200,1577379804,6604,5257,531,769,458,648,575
draft-campbell-tokbind-tls-term-00.pdf,1577373200,1577379933,6733,5485,592,1051,423,384,192
