filename,start,end,duration,time_extract-data,time_core-phrases,time_keywords,time_stats,time_guess-language,time_merger
draft-akiya-mpls-entropy-lsp-ping-02.pdf,1577358034,1577358333,299,168,89,80,33,29,37
draft-akiya-bfd-seamless-ip-00.pdf,1577358034,1577358486,452,129,169,295,276,154,23
draft-akiya-bfd-seamless-sr-03.pdf,1577358036,1577358503,467,341,66,50,43,29,57
draft-aliahmad-dmm-anchor-selection-00.pdf,1577358036,1577358594,558,403,132,46,36,38,21
draft-ali-pce-remote-initiated-lsp-usage-00.pdf,1577358034,1577358690,656,232,408,273,138,402,13
draft-akiya-bfd-seamless-alert-discrim-01.pdf,1577358034,1577358700,666,132,516,358,406,297,16
draft-akiya-mpls-lsp-ping-lag-multipath-04.pdf,1577358039,1577358707,668,515,73,64,43,133,12
draft-akiya-bfd-seamless-ip-05.pdf,1577358035,1577358725,690,303,218,209,215,362,22
draft-ama-mpls-fm-rdi-00.pdf,1577358035,1577358754,719,410,62,57,40,33,245
draft-akiya-mpls-lsp-ping-lag-multipath-01.pdf,1577358034,1577358759,725,164,540,400,397,439,18
draft-alexander-roll-mikey-lln-key-mgmt-01.pdf,1577358041,1577358761,720,595,93,69,36,32,28
draft-alvestrand-rmcat-congestion-03.pdf,1577358035,1577358795,760,429,73,70,295,190,31
draft-ali-pce-remote-initiated-gmpls-lsp-02.pdf,1577358034,1577358796,762,214,493,404,527,487,19
draft-campbell-oauth-resource-indicators-01.pdf,1577358035,1577358818,783,350,371,415,365,312,16
draft-aayadi-6lowpan-tcphc-01.pdf,1577358034,1577358831,797,303,183,471,73,356,19
draft-akiya-mpls-lsp-ping-lag-multipath-05.pdf,1577358045,1577358834,789,694,73,64,47,41,18
draft-akiya-bfd-seamless-base-00.pdf,1577358035,1577358893,858,282,468,136,240,120,100
draft-akiya-mpls-entropy-lsp-ping-03.pdf,1577358041,1577359060,1019,655,80,65,195,41,162
draft-akiya-mpls-lsp-ping-reply-mode-simple-02.pdf,1577358035,1577359066,1031,265,193,74,68,618,135
draft-castellani-core-http-mapping-03.pdf,1577358039,1577359296,1257,1020,58,234,148,61,
draft-akiya-bfd-seamless-ip-02.pdf,1577358044,1577359300,1256,1178,57,55,39,35,18
draft-campbell-oauth-resource-indicators-00.pdf,1577358038,1577359401,1363,1183,95,162,77,75,15
draft-akiya-mpls-lsp-ping-lag-multipath-02.pdf,1577358034,1577359475,1441,167,718,447,434,203,544
draft-campbell-oauth-mtls-00.pdf,1577358042,1577359479,1437,1364,51,51,46,44,17
draft-ali-pce-remote-initiated-gmpls-lsp-01.pdf,1577358036,1577359515,1479,1051,409,243,399,337,15
draft-castellani-core-http-mapping-01.pdf,1577358037,1577359530,1493,953,310,356,535,214,
draft-akiya-bfd-seamless-alert-discrim-02.pdf,1577358040,1577359534,1494,1051,308,257,241,403,35
draft-am-dprive-eval-01.pdf,1577358040,1577359536,1496,913,521,222,205,235,57
draft-agarwal-intarea-mams-protocol-json-00.pdf,1577358043,1577359565,1522,988,514,325,353,484,16
draft-akiya-bfd-seamless-ip-04.pdf,1577358044,1577359612,1568,1318,226,92,224,32,20
draft-akiya-mpls-lsp-ping-reply-mode-simple-00.pdf,1577358039,1577359636,1597,1154,425,330,360,261,15
draft-akiya-mpls-lsp-ping-reply-mode-simple-01.pdf,1577358044,1577359638,1594,1320,73,51,236,254,15
draft-adamson-elasticmcast-00.pdf,1577358039,1577359639,1600,950,247,630,251,521,17
draft-antti-rfc2806bis-06.pdf,1577358043,1577359639,1596,1229,346,267,279,215,17
draft-akiya-bfd-seamless-sr-00.pdf,1577358036,1577359684,1648,1101,467,372,404,224,75
draft-akiya-bfd-seamless-ip-03.pdf,1577358045,1577359712,1667,1069,262,291,580,223,16
draft-ali-pce-remote-initiated-gmpls-lsp-00.pdf,1577358040,1577359715,1675,1483,77,64,171,38,17
draft-aazam-cdni-inter-cloud-architecture-00.pdf,1577358043,1577359775,1732,1593,105,69,40,28,31
draft-akiya-mpls-entropy-lsp-ping-01.pdf,1577358045,1577359836,1791,1682,73,62,41,30,34
