NAME                 START                  END
text-analysiszxgp7   2019-12-26T13:41:21Z   2019-12-26T14:06:34Z
text-analysiskz2j4   2019-12-26T13:41:20Z   2019-12-26T14:11:06Z
text-analysispmj9j   2019-12-26T13:41:16Z   2019-12-26T14:11:08Z
text-analysis7tsxh   2019-12-26T13:41:18Z   2019-12-26T14:11:13Z
text-analysiswpvvc   2019-12-26T13:41:15Z   2019-12-26T14:11:30Z
text-analysiskt59l   2019-12-26T13:41:16Z   2019-12-26T14:12:26Z
text-analysis488fg   2019-12-26T13:41:15Z   2019-12-26T14:13:17Z
text-analysisbj5rk   2019-12-26T13:41:13Z   2019-12-26T14:13:45Z
text-analysis789fs   2019-12-26T13:41:23Z   2019-12-26T14:13:58Z
text-analysis9bh4m   2019-12-26T13:41:21Z   2019-12-26T14:15:07Z
text-analysisr8vk8   2019-12-26T13:41:15Z   2019-12-26T14:15:54Z
text-analysissrkvb   2019-12-26T13:41:19Z   2019-12-26T14:16:43Z
text-analysisqrh9g   2019-12-26T13:41:19Z   2019-12-26T14:17:33Z
text-analysisg6lsz   2019-12-26T13:41:22Z   2019-12-26T14:17:36Z
text-analysisdctq9   2019-12-26T13:41:17Z   2019-12-26T14:17:48Z
text-analysismq8h2   2019-12-26T13:41:18Z   2019-12-26T14:18:06Z
text-analysiswtqrt   2019-12-26T13:41:13Z   2019-12-26T14:18:09Z
text-analysisrslh2   2019-12-26T13:41:22Z   2019-12-26T14:18:25Z
text-analysisgtsff   2019-12-26T13:41:13Z   2019-12-26T14:18:32Z
text-analysisxm7dz   2019-12-26T13:41:17Z   2019-12-26T14:19:00Z
text-analysisf5jrr   2019-12-26T13:41:17Z   2019-12-26T14:19:24Z
text-analysisrn9kp   2019-12-26T13:41:14Z   2019-12-26T14:19:35Z
text-analysis9dxt8   2019-12-26T13:41:12Z   2019-12-26T14:19:41Z
text-analysisdrpsl   2019-12-26T13:41:12Z   2019-12-26T14:19:44Z
text-analysiskj9fk   2019-12-26T13:41:13Z   2019-12-26T14:20:07Z
text-analysisnsgjr   2019-12-26T13:41:23Z   2019-12-26T14:20:38Z
text-analysisg62kg   2019-12-26T13:41:12Z   2019-12-26T14:20:46Z
text-analysisphs5l   2019-12-26T13:41:12Z   2019-12-26T14:21:29Z
text-analysisdrwqj   2019-12-26T13:41:19Z   2019-12-26T14:21:59Z
text-analysisws9kx   2019-12-26T13:41:18Z   2019-12-26T14:22:01Z
text-analysisrlcgm   2019-12-26T13:41:20Z   2019-12-26T14:22:21Z
text-analysisghjsd   2019-12-26T13:41:16Z   2019-12-26T14:22:30Z
text-analysisd4rl8   2019-12-26T13:41:14Z   2019-12-26T14:22:42Z
text-analysisnwxsv   2019-12-26T13:41:22Z   2019-12-26T14:25:02Z
text-analysis4lcx4   2019-12-26T13:41:13Z   2019-12-26T14:25:09Z
text-analysisbflkf   2019-12-26T13:41:19Z   2019-12-26T14:42:28Z
text-analysis6kpr8   2019-12-26T13:41:16Z   2019-12-26T14:44:45Z
text-analysisbmps4   2019-12-26T13:41:13Z   2019-12-26T14:45:57Z
text-analysisnc6vd   2019-12-26T13:41:19Z   2019-12-26T14:46:12Z
text-analysisrl9ww   2019-12-26T13:41:13Z   2019-12-26T14:46:47Z
text-analysiszl67p   2019-12-26T13:41:20Z   2019-12-26T14:47:16Z
text-analysis4dz5k   2019-12-26T13:41:20Z   2019-12-26T14:47:30Z
text-analysisfrn4s   2019-12-26T13:41:20Z   2019-12-26T14:47:44Z
text-analysisfsgd9   2019-12-26T13:41:21Z   2019-12-26T14:48:16Z
text-analysis2s5rp   2019-12-26T13:41:21Z   2019-12-26T14:48:44Z
text-analysiscv82g   2019-12-26T13:41:14Z   2019-12-26T14:48:45Z
text-analysishz2qb   2019-12-26T13:41:20Z   2019-12-26T14:49:12Z
text-analysisc7dfc   2019-12-26T13:41:19Z   2019-12-26T14:49:14Z
text-analysisxp69g   2019-12-26T13:41:18Z   2019-12-26T14:49:32Z
text-analysis4wfgq   2019-12-26T13:41:23Z   2019-12-26T14:49:46Z
text-analysisjlpcv   2019-12-26T13:41:21Z   2019-12-26T14:50:11Z
text-analysismxjpq   2019-12-26T13:41:21Z   2019-12-26T14:50:34Z
text-analysisfrxs9   2019-12-26T13:41:15Z   2019-12-26T15:00:18Z
text-analysis8drg8   2019-12-26T13:41:18Z   2019-12-26T15:00:18Z
text-analysispd8cg   2019-12-26T13:41:12Z   2019-12-26T15:00:33Z
text-analysiswkjzk   2019-12-26T13:41:23Z   2019-12-26T15:01:18Z
text-analysischn8r   2019-12-26T13:41:22Z   2019-12-26T15:01:39Z
text-analysispf4m9   2019-12-26T13:41:16Z   2019-12-26T15:01:44Z
text-analysiskdvnx   2019-12-26T13:41:14Z   2019-12-26T15:01:45Z
text-analysishxkzb   2019-12-26T13:41:17Z   2019-12-26T15:01:45Z
